Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	382	OT	M,M	R00906-06-8_human	386	0.9896373056994818
101089059,101089077	M,U	10:101089059-101089077-MM	1	OT	M,M	R00906-06-8_human	386	0.0025906735751295338
101089059,101089077	U,U	10:101089059-101089077-MM	3	OT	M,M	R00906-06-8_human	386	0.007772020725388601
101089060,101089078	M,M	10:101089059-101089077-MM	516	OB	M,M	R00906-06-8_human	520	0.9923076923076923
101089060,101089078	M,U	10:101089059-101089077-MM	1	OB	M,M	R00906-06-8_human	520	0.0019230769230769232
101089060,101089078	U,M	10:101089059-101089077-MM	1	OB	M,M	R00906-06-8_human	520	0.0019230769230769232
101089060,101089078	U,U	10:101089059-101089077-MM	2	OB	M,M	R00906-06-8_human	520	0.0038461538461538464
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	354	OT	M,M,M	R00906-06-8_human	363	0.9752066115702479
101089190,101089205,101089210	M,U,M	10:101089190-101089210-MMM	2	OT	M,M,M	R00906-06-8_human	363	0.005509641873278237
101089190,101089205,101089210	M,U,U	10:101089190-101089210-MMM	3	OT	M,M,M	R00906-06-8_human	363	0.008264462809917356
101089190,101089205,101089210	U,M,M	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-06-8_human	363	0.0027548209366391185
101089190,101089205,101089210	U,U,M	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-06-8_human	363	0.0027548209366391185
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	2	OT	M,M,M	R00906-06-8_human	363	0.005509641873278237
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	526	OB	M,M,M	R00906-06-8_human	536	0.9813432835820896
101089191,101089206,101089211	M,M,U	10:101089190-101089210-MMM	3	OB	M,M,M	R00906-06-8_human	536	0.005597014925373134
101089191,101089206,101089211	M,U,M	10:101089190-101089210-MMM	4	OB	M,M,M	R00906-06-8_human	536	0.007462686567164179
101089191,101089206,101089211	M,U,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-06-8_human	536	0.0018656716417910447
101089191,101089206,101089211	U,U,U	10:101089190-101089210-MMM	2	OB	M,M,M	R00906-06-8_human	536	0.0037313432835820895
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	398	OT	M,M,M,M	R00906-06-8_human	407	0.9778869778869779
101089280,101089285,101089304,101089306	M,M,U,M	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-06-8_human	407	0.004914004914004914
101089280,101089285,101089304,101089306	M,U,M,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-06-8_human	407	0.002457002457002457
101089280,101089285,101089304,101089306	M,U,U,U	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-06-8_human	407	0.002457002457002457
101089280,101089285,101089304,101089306	U,M,M,M	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-06-8_human	407	0.004914004914004914
101089280,101089285,101089304,101089306	U,M,M,U	10:101089280-101089306-MMMM	2	OT	M,M,M,M	R00906-06-8_human	407	0.004914004914004914
101089280,101089285,101089304,101089306	U,M,U,M	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-06-8_human	407	0.002457002457002457
101089281,101089286,101089305,101089307	M,M,M,M	10:101089280-101089306-MMMM	467	OB	M,M,M,M	R00906-06-8_human	474	0.9852320675105485
101089281,101089286,101089305,101089307	M,M,U,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-06-8_human	474	0.002109704641350211
101089281,101089286,101089305,101089307	M,M,U,U	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-06-8_human	474	0.002109704641350211
101089281,101089286,101089305,101089307	M,U,M,M	10:101089280-101089306-MMMM	1	OB	M,M,M,M	R00906-06-8_human	474	0.002109704641350211
101089281,101089286,101089305,101089307	U,M,M,M	10:101089280-101089306-MMMM	3	OB	M,M,M,M	R00906-06-8_human	474	0.006329113924050633
