Haplo_coord	Haplo_status	haplo_pattern	Counts	Capture_chain	Target_status	Sample	groupsum	proportion
101089059,101089077	M,M	10:101089059-101089077-MM	612	OT	M,M	R00906-04-8_human	618	0.9902912621359223
101089059,101089077	M,U	10:101089059-101089077-MM	5	OT	M,M	R00906-04-8_human	618	0.008090614886731391
101089059,101089077	U,U	10:101089059-101089077-MM	1	OT	M,M	R00906-04-8_human	618	0.0016181229773462784
101089060,101089078	M,M	10:101089059-101089077-MM	545	OB	M,M	R00906-04-8_human	553	0.9855334538878843
101089060,101089078	M,U	10:101089059-101089077-MM	3	OB	M,M	R00906-04-8_human	553	0.0054249547920434
101089060,101089078	U,M	10:101089059-101089077-MM	3	OB	M,M	R00906-04-8_human	553	0.0054249547920434
101089060,101089078	U,U	10:101089059-101089077-MM	2	OB	M,M	R00906-04-8_human	553	0.003616636528028933
101089190,101089205,101089210	M,M,M	10:101089190-101089210-MMM	389	OT	M,M,M	R00906-04-8_human	392	0.9923469387755102
101089190,101089205,101089210	M,M,U	10:101089190-101089210-MMM	1	OT	M,M,M	R00906-04-8_human	392	0.002551020408163265
101089190,101089205,101089210	U,U,U	10:101089190-101089210-MMM	2	OT	M,M,M	R00906-04-8_human	392	0.00510204081632653
101089191,101089206,101089211	M,M,M	10:101089190-101089210-MMM	544	OB	M,M,M	R00906-04-8_human	547	0.9945155393053017
101089191,101089206,101089211	M,M,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-8_human	547	0.0018281535648994515
101089191,101089206,101089211	M,U,M	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-8_human	547	0.0018281535648994515
101089191,101089206,101089211	U,M,U	10:101089190-101089210-MMM	1	OB	M,M,M	R00906-04-8_human	547	0.0018281535648994515
101089280,101089285,101089304,101089306	M,M,M,M	10:101089280-101089306-MMMM	441	OT	M,M,M,M	R00906-04-8_human	445	0.9910112359550561
101089280,101089285,101089304,101089306	M,M,M,U	10:101089280-101089306-MMMM	1	OT	M,M,M,M	R00906-04-8_human	445	0.0022471910112359553
